topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,1;1,1;1",1,512,50000,18535.6,18535.5,4.496,1354.4,63.6406,1324.39,29.89,0,237670,0.99,158932992,2038329344,10608000,79593472
"2;16,32;1,13;1,1;1",13,512,50000,4420.26,4420.21,18.85,424.597,39.3439,408.24,16.43,0,233161,0.99,158216192,2037592064,10608000,79007744
"2;16,32;1,12;1,1;1",12,512,50000,4571.19,4571.15,18.23,555.937,39.1044,539.0,16.98,0,235545,0.99,159379456,2038734848,10616000,75358208
"2;16,32;1,6;1,1;1",6,512,50000,6052.74,6052.7,13.77,1640.93,44.5919,1620.44,20.27,0,237418,0.99,158072832,2037325824,10604000,77307904
"2;16,32;1,15;1,1;1",15,512,50000,4494.98,4494.93,18.54,294.62,38.1738,278.31,16.37,0,194267,0.99,160346112,2039619584,10620000,81264640
"2;16,32;1,8;1,1;1",8,512,50000,5324.02,5323.98,15.65,1363.07,43.4177,1343.45,19.55,0,237665,0.99,159567872,2038734848,10616000,76390400
"2;16,32;1,16;1,1;1",16,512,50000,4375.84,4375.8,19.05,272.095,37.7317,256.26,15.94,0,179917,0.99,160239616,2039566336,10616000,80461824
"2;16,32;1,10;1,1;1",10,512,50000,5101.57,5101.52,16.34,939.833,42.219,920.54,19.15,0,238259,0.99,159973376,2039226368,10604000,78061568
"2;16,32;1,2;1,1;1",2,512,50000,10956.7,10956.67,7.606,1569.62,53.1418,1544.49,24.98,0,239490,0.99,157761536,2036916224,10604000,79245312
"2;16,32;1,7;1,1;1",7,512,50000,6000.58,6000.53,13.89,1425.52,44.2656,1405.44,19.91,0,239373,0.99,159277056,2038616064,10616000,79147008
"2;16,32;1,2;1,1;1",2,512,50000,11258.6,11258.59,7.402,1577.12,55.7934,1549.45,27.36,0,238566,0.99,158773248,2038161408,10624000,97406976
"2;16,32;1,1;1,1;1",1,512,50000,18659.0,18658.98,4.466,1336.22,64.3853,1306.84,29.21,0,237794,0.99,159428608,2038763520,10604000,90796032
"2;16,32;1,12;1,1;1",12,512,50000,4846.77,4846.72,17.19,533.367,39.9679,515.92,17.43,0,232685,0.99,159977472,2039267328,10624000,91025408
"2;16,32;1,7;1,1;1",7,512,50000,5645.92,5645.87,14.76,1514.87,43.5582,1494.38,20.24,0,237544,0.99,158560256,2037866496,10612000,91901952
"2;16,32;1,4;1,1;1",4,512,50000,7485.31,7485.26,11.13,1612.84,48.0737,1590.33,22.22,0,237682,0.99,159035392,2038419456,10612000,95100928
"2;16,32;1,13;1,1;1",13,512,50000,4585.98,4585.93,18.17,423.259,38.9251,406.15,17.16,0,231979,0.99,158466048,2037854208,10612000,93810688
"2;16,32;1,9;1,1;1",9,512,50000,5251.22,5251.17,15.87,1182.93,42.809,1163.34,19.42,0,236869,0.99,159199232,2038517760,10612000,93818880
"2;16,32;1,14;1,1;1",14,512,50000,4302.3,4302.25,19.37,346.922,38.212,330.15,16.8,0,211251,0.99,159567872,2038857728,10612000,93368320
"2;16,32;1,5;1,1;1",5,512,50000,6449.19,6449.14,12.92,1688.66,45.134,1667.38,20.9,0,237638,0.99,159358976,2038677504,10612000,92037120
"2;16,32;1,6;1,1;1",6,512,50000,6136.91,6136.86,13.58,1529.46,43.7856,1509.54,19.57,0,237615,0.99,158658560,2038046720,10624000,89833472
"2;16,32;1,10;1,1;1",10,512,50000,4801.25,4801.21,17.36,1012.17,40.3551,994.06,17.95,0,236738,0.99,158113792,2037477376,10608000,93499392
"2;16,32;1,3;1,1;1",3,512,50000,8761.6,8761.55,9.512,1604.39,49.34,1581.17,22.94,0,237824,0.99,159395840,2038779904,10612000,91332608
"2;16,32;1,16;1,1;1",16,512,50000,4162.84,4162.8,20.02,271.196,37.5589,254.56,16.64,0,179834,0.99,159703040,2039037952,10608000,92753920
"2;16,32;1,15;1,1;1",15,512,50000,4355.23,4355.19,19.14,296.126,38.865,279.74,16.46,0,194103,0.99,159526912,2038915072,10616000,96247808
