topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,uss,rss
"2;8,8;1,8;1,1",8,32,35000,579.4,49.34,37.621,10.8784,458903552,10265681920
"2;8,8;1,8;1,1",8,1,15000,1205.08,1.867,0.870324,0.829732,5566464,1809207296
"2;8,8;1,8;1,1",8,64,5000,10.36,8.05,3.83739,0.752841,94568448,298766336
"2;8,8;1,8;1,1",8,56,5000,14.94,5.579,5.65265,0.934864,113291264,317587456
"2;8,8;1,8;1,1",8,40,35000,539.71,52.96,63.8687,18.1464,553009152,10360410112
"2;8,8;1,8;1,1",8,40,40000,763.34,55.9,79.3194,23.222,657616896,13465600000
"2;8,8;1,8;1,1",8,1,25000,5565.07,1.872,2.55264,2.47472,5640192,5009383424
"2;8,8;1,8;1,1",8,8,35000,2024.47,14.12,16.5423,7.96366,256233472,10061303808
"2;8,8;1,8;1,1",8,16,10000,38.62,17.27,3.37303,1.00244,95432704,899571712
"2;8,8;1,8;1,1",8,24,35000,781.49,36.58,40.5156,13.4699,400625664,10206814208
"2;8,8;1,8;1,1",8,1,35000,15254.68,1.874,5.37354,5.2566,5660672,9809559552
"2;8,8;1,8;1,1",8,48,15000,52.9,42.54,11.9163,2.81601,264654848,2070155264
"2;8,8;1,8;1,1",8,24,15000,92.08,24.44,8.84514,2.43702,180060160,1984729088
"2;8,8;1,8;1,1",8,8,100,0.03,0.02008,0.0100881,0.00286126,0,0
"2;8,8;1,8;1,1",8,16,5000,9.39,8.875,1.25894,0.333809,48508928,252198912
"2;8,8;1,8;1,1",8,56,100,0.23,0.002921,0.118802,0.0228703,8908800,12832768
"2;8,8;1,8;1,1",8,16,40000,1571.11,27.16,35.5456,13.6176,361062400,13167005696
"2;8,8;1,8;1,1",8,8,30000,1290.29,13.95,12.274,5.71223,212332544,7417180160
"2;8,8;1,8;1,1",8,48,25000,172.97,60.23,26.6664,5.91948,458321920,5464997888
"2;8,8;1,8;1,1",8,64,30000,239.62,75.13,54.3562,14.3632,511582208,7718916096
"2;8,8;1,8;1,1",8,16,25000,413.51,25.19,14.8184,5.23185,223051776,5228064768
"2;8,8;1,8;1,1",8,1,10000,358.24,1.861,0.392826,0.366441,5660672,809230336
"2;8,8;1,8;1,1",8,56,20000,125.27,42.58,33.7626,7.87529,413274112,3619725312
"2;8,8;1,8;1,1",8,40,20000,144.83,36.83,24.817,6.46116,326422528,3532095488
"2;8,8;1,8;1,1",8,8,15000,175.08,12.85,3.501,1.50653,109223936,1913446400
"2;8,8;1,8;1,1",8,8,10000,56.76,11.75,1.81777,0.722465,72011776,875937792
"2;8,8;1,8;1,1",8,48,10000,23.59,28.27,6.09238,1.30529,186105856,990842880
"2;8,8;1,8;1,1",8,1,40000,22757.48,1.875,6.29196,6.14689,5722112,12809752576
"2;8,8;1,8;1,1",8,40,15000,80.34,28.01,15.8288,3.75322,245010432,2050084864
"2;8,8;1,8;1,1",8,64,25000,155.24,67.11,38.6866,9.00172,425422848,5432033280
"2;8,8;1,8;1,1",8,16,20000,224.96,23.71,10.3365,3.55421,185434112,3390124032
"2;8,8;1,8;1,1",8,48,100,0.14,0.00488,0.0501126,0.013727,0,0
"2;8,8;1,8;1,1",8,16,15000,106.42,21.15,6.8948,2.52994,138129408,1942446080
"2;8,8;1,8;1,1",8,16,35000,1072.62,26.65,29.2005,11.0411,309854208,10115489792
"2;8,8;1,8;1,1",8,48,30000,275.44,65.35,36.1366,8.18436,517332992,7724650496
"2;8,8;1,8;1,1",8,32,10000,27.72,24.06,4.58799,1.13,139976704,944316416
