shared,size,mem_access,system_time,user_time,nb_page_faults
False,3831214844,True,0.36,0.16,2841
False,3831214844,False,0.0,0.0,60
False,3161996528,True,0.31,0.13,1954
True,3161996528,False,0.13,0.0,48566
True,3161996528,True,0.8,0.25,823557
False,3161996528,False,0.0,0.0,61
False,1835113921,True,0.18,0.08,1473
True,1835113921,True,0.5,0.12,478096
True,1835113921,False,0.08,0.0,30070
False,1835113921,False,0.0,0.0,61
False,6938946355,True,0.64,0.31,3755
True,6938946355,False,0.3,0.0,112815
False,6938946355,False,0.0,0.0,60
True,6938946355,True,1.86,0.48,1806894
False,1072478144,False,0.0,0.0,60
True,1072478144,False,0.05,0.0,17709
True,1072478144,True,0.3,0.04,279544
False,1072478144,True,0.09,0.04,1285
True,7997423041,False,0.36,0.0,129977
True,7997423041,True,2.12,0.56,2082471
False,7997423041,True,0.75,0.33,4114
False,7997423041,False,0.0,0.0,61
True,7778920655,False,0.34,0.0,126438
False,7778920655,False,0.0,0.0,59
False,7778920655,True,0.7,0.35,4422
True,7778920655,True,2.08,0.53,2025587
False,275379779,False,0.0,0.0,61
True,275379779,True,0.08,0.02,72015
False,275379779,True,0.02,0.0,350
True,275379779,False,0.01,0.0,4782
True,2198106942,True,0.62,0.12,572606
False,2198106942,False,0.0,0.0,62
True,2198106942,False,0.09,0.0,35957
False,2198106942,True,0.19,0.1,1694
True,9265379153,True,2.56,0.65,2412591
True,9265379153,False,0.41,0.0,141697
False,9265379153,True,0.84,0.42,5029
False,9265379153,False,0.0,0.0,62
True,2532435161,False,0.11,0.0,41379
True,2532435161,True,0.66,0.18,659646
False,2532435161,True,0.24,0.09,1552
False,2532435161,False,0.0,0.0,60
True,9340068681,False,0.41,0.0,151745
False,9340068681,True,0.86,0.42,4867
True,9340068681,True,2.56,0.62,2432037
False,9340068681,False,0.0,0.0,64
True,9197151926,False,0.41,0.0,149426
True,9197151926,True,2.43,0.64,2394830
False,9197151926,False,0.0,0.0,61
False,9197151926,True,0.84,0.41,4723
True,482369261,True,0.14,0.02,125907
False,482369261,False,0.0,0.0,58
True,482369261,False,0.02,0.0,8141
False,482369261,True,0.05,0.01,805
True,8879086310,True,2.41,0.56,2312018
True,8879086310,False,0.38,0.0,144270
False,8879086310,False,0.0,0.0,59
False,8879086310,True,0.8,0.4,4743
False,9520945358,False,0.0,0.0,60
False,9520945358,True,0.92,0.42,5084
True,9520945358,False,0.42,0.0,154676
True,9520945358,True,2.47,0.7,2479127
True,3948462923,False,0.17,0.0,64335
False,3948462923,False,0.0,0.0,61
False,3948462923,True,0.39,0.14,2340
True,3948462923,True,1.08,0.24,1028315
False,6800792281,False,0.0,0.0,60
True,6800792281,False,0.3,0.0,110579
False,6800792281,True,0.63,0.29,3746
True,6800792281,True,1.78,0.49,1764442
False,1789976946,False,0.0,0.0,60
False,1789976946,True,0.16,0.08,1186
True,1789976946,False,0.08,0.0,29341
True,1789976946,True,0.47,0.12,466346
False,279851679,True,0.03,0.01,932
True,279851679,False,0.01,0.0,4855
True,279851679,True,0.08,0.01,73180
False,279851679,False,0.0,0.0,59
True,6681031129,True,1.76,0.47,1739750
True,6681031129,False,0.3,0.0,108634
False,6681031129,False,0.0,0.0,61
False,6681031129,True,0.62,0.28,3637
True,7734600888,False,0.34,0.0,125717
True,7734600888,True,2.03,0.55,2006671
False,7734600888,False,0.0,0.0,61
False,7734600888,True,0.74,0.33,4335
True,9492841571,False,0.43,0.0,154222
False,9492841571,False,0.0,0.0,60
True,9492841571,True,2.56,0.62,2471811
False,9492841571,True,0.9,0.39,4865
False,4398365593,False,0.0,0.0,63
False,4398365593,True,0.44,0.16,2825
True,4398365593,True,1.15,0.33,1145449
True,4398365593,False,0.19,0.0,71628
