shared,size,mem_access,system_time,user_time,nb_page_faults
True,921832529,True,0.24,0.06,240322
False,921832529,True,0.35,0.03,225115
True,9045151191,False,0.43,0.0,146962
False,9045151191,False,0.0,0.0,59
False,9045151191,True,3.32,0.54,2208349
True,9045151191,True,2.14,0.86,2355254
False,4514043260,False,0.0,0.0,57
True,4514043260,True,1.11,0.4,1175563
False,4514043260,True,1.61,0.31,1102121
True,4514043260,False,0.21,0.0,69199
False,1855576421,False,0.0,0.0,58
False,1855576421,True,0.64,0.14,453080
True,1855576421,True,0.47,0.14,481656
True,1855576421,False,0.08,0.0,30403
True,6820996935,True,1.63,0.63,1776186
True,6820996935,False,0.32,0.0,110902
False,6820996935,True,2.46,0.44,1665339
False,6820996935,False,0.0,0.0,59
True,866236492,True,0.22,0.06,225847
False,866236492,False,0.0,0.0,57
False,866236492,True,0.28,0.08,211542
True,866236492,False,0.04,0.0,14363
False,5217952695,False,0.0,0.0,59
True,5217952695,True,1.23,0.5,1358828
False,5217952695,True,1.84,0.38,1273973
True,5217952695,False,0.25,0.0,84914
True,8946997978,False,0.43,0.0,145369
False,8946997978,False,0.0,0.0,60
True,8946997978,True,2.14,0.82,2321164
False,8946997978,True,3.2,0.61,2184385
False,7552283537,True,2.77,0.44,1843878
True,7552283537,True,1.86,0.65,1966581
True,7552283537,False,0.36,0.0,122759
False,7552283537,False,0.0,0.0,60
False,5810183004,True,2.08,0.39,1418560
True,5810183004,False,0.28,0.0,94517
True,5810183004,True,1.38,0.54,1507476
False,5810183004,False,0.0,0.0,60
False,7312619545,True,2.66,0.45,1785365
True,7312619545,True,1.74,0.69,1904182
True,7312619545,False,0.35,0.0,118874
False,7312619545,False,0.0,0.0,59
False,4431112447,True,1.59,0.29,1081873
False,4431112447,False,0.0,0.0,60
True,4431112447,False,0.21,0.0,72158
True,4431112447,True,1.08,0.4,1153974
True,4153143763,False,0.2,0.0,67651
False,4153143763,True,1.52,0.25,1014010
True,4153143763,True,0.96,0.41,1081602
False,4153143763,False,0.0,0.0,58
False,5158566266,True,1.9,0.29,1259473
True,5158566266,True,1.24,0.47,1343368
False,5158566266,False,0.0,0.0,58
True,5158566266,False,0.24,0.0,83951
True,8811857596,True,2.09,0.83,2294511
False,8811857596,False,0.0,0.0,59
True,8811857596,False,0.42,0.0,143180
False,8811857596,True,3.12,0.63,2151392
True,7018729575,True,1.77,0.56,1827669
True,7018729575,False,0.33,0.0,114109
False,7018729575,False,0.0,0.0,58
False,7018729575,True,2.49,0.51,1713616
False,4445557832,False,0.0,0.0,59
True,4445557832,True,0.95,0.52,1157735
True,4445557832,False,0.21,0.0,72391
