shared,size,mem_access,system_time,user_time,nb_page_faults
False,9504310489,True,2.97,0.38,825775
False,9504310489,False,0.0,0.0,59
True,9504310489,True,2.01,0.58,2474796
True,9504310489,False,0.34,0.0,154406
False,353330118,True,0.02,0.02,986
True,353330118,False,0.02,0.0,6045
False,353330118,False,0.0,0.0,61
True,353330118,True,0.06,0.02,92308
True,5472616718,False,0.2,0.0,89045
False,5472616718,False,0.0,0.0,61
True,5472616718,True,1.18,0.31,1425133
False,5472616718,True,0.43,0.22,3463
False,4029683189,False,0.0,0.0,60
True,4029683189,False,0.14,0.0,65652
False,4029683189,True,0.34,0.13,2240
True,4029683189,True,0.85,0.24,1049463
False,608187046,False,0.0,0.0,60
True,608187046,False,0.02,0.0,10182
False,608187046,True,0.05,0.02,862
True,608187046,True,0.14,0.02,158665
False,8050850510,True,1.9,0.29,470923
False,8050850510,False,0.0,0.0,62
True,8050850510,True,1.68,0.54,2096385
True,8050850510,False,0.29,0.0,131042
False,6089120105,False,0.0,0.0,63
False,6089120105,True,0.53,0.2,3229
True,6089120105,True,1.28,0.37,1585641
True,6089120105,False,0.22,0.0,99041
False,350040114,False,0.0,0.0,61
False,350040114,True,0.04,0.01,694
True,350040114,False,0.01,0.0,5995
True,350040114,True,0.07,0.02,91455
False,1626668198,True,0.16,0.04,1170
True,1626668198,False,0.05,0.0,26690
True,1626668198,True,0.34,0.09,423827
False,1626668198,False,0.0,0.0,62
False,5212249494,True,0.44,0.19,2748
False,5212249494,False,0.0,0.0,62
True,5212249494,True,1.16,0.26,1357345
True,5212249494,False,0.19,0.0,84822
False,7677206667,True,1.64,0.3,379703
True,7677206667,True,1.61,0.48,1999105
True,7677206667,False,0.27,0.0,124785
False,7677206667,False,0.0,0.0,62
True,7874618558,True,1.64,0.52,2042991
False,7874618558,False,0.0,0.0,60
False,7874618558,True,1.76,0.3,427899
True,7874618558,False,0.28,0.0,127985
True,630249491,False,0.02,0.0,10535
False,630249491,True,0.04,0.04,1138
False,630249491,False,0.0,0.0,60
True,630249491,True,0.13,0.04,164408
True,8018364775,True,1.88,0.33,2087927
False,8018364775,True,1.98,0.26,462995
False,8018364775,False,0.0,0.0,62
True,8018364775,False,0.28,0.0,130317
False,2281641824,True,0.16,0.12,1645
