shared,size,mem_access,system_time,user_time,nb_page_faults
False,4074720779,True,1.52,0.2,994860
False,4074720779,False,0.0,0.0,58
False,7080569669,True,2.61,0.38,1728711
False,7080569669,False,0.0,0.0,55
True,7080569669,True,1.87,0.56,1843767
True,7080569669,False,0.3,0.0,108358
False,8986654090,False,0.0,0.0,58
True,8986654090,False,0.39,0.0,146012
True,8986654090,True,2.71,0.63,2340022
False,8986654090,True,3.32,0.49,2194065
True,2027569378,True,0.4,0.13,528201
True,2027569378,False,0.08,0.0,33188
False,2027569378,True,0.73,0.12,495070
False,2027569378,False,0.0,0.0,60
False,5474756931,True,1.93,0.39,1336669
True,5474756931,True,1.27,0.41,1425686
True,5474756931,False,0.23,0.0,89078
False,5474756931,False,0.0,0.0,59
True,3317575623,False,0.14,0.0,54102
False,3317575623,False,0.0,0.0,57
True,3317575623,True,0.61,0.26,864060
False,3317575623,True,1.24,0.16,810014
True,1397044765,False,0.06,0.0,22967
False,1397044765,True,0.49,0.09,341132
True,1397044765,True,0.3,0.07,364045
False,1397044765,False,0.0,0.0,57
False,4436677362,True,1.6,0.28,1083232
True,4436677362,True,0.86,0.34,1155422
True,4436677362,False,0.19,0.0,72249
False,4436677362,False,0.0,0.0,56
True,5613962464,True,1.61,0.4,1461930
False,5613962464,False,0.0,0.0,56
False,5613962464,True,2.02,0.36,1370652
True,5613962464,False,0.24,0.0,91333
True,5815848549,True,1.42,0.41,1514491
False,5815848549,False,0.0,0.0,57
True,5815848549,False,0.25,0.0,94606
False,5815848549,True,2.14,0.32,1419944
True,3871017346,True,0.76,0.27,1008149
True,3871017346,False,0.16,0.0,63077
False,3871017346,False,0.0,0.0,60
False,3871017346,True,1.38,0.25,945132
False,9829585102,False,0.0,0.0,56
False,9829585102,True,3.63,0.54,2399859
True,9829585102,False,0.42,0.0,159679
True,9829585102,True,3.81,0.64,2559483
True,1356068086,False,0.06,0.0,22304
False,1356068086,False,0.0,0.0,58
True,1356068086,True,0.26,0.09,353374
False,1356068086,True,0.48,0.09,331128
False,2420747730,True,0.92,0.1,591059
True,2420747730,True,0.48,0.15,630565
True,2420747730,False,0.1,0.0,39566
False,2420747730,False,0.0,0.0,58
False,1908332223,True,0.74,0.06,465959
True,1908332223,False,0.08,0.0,31254
True,1908332223,True,0.37,0.13,497158
False,1908332223,False,0.0,0.0,58
True,2262280611,True,0.45,0.14,589308
False,2262280611,True,0.82,0.13,552372
True,2262280611,False,0.09,0.0,36995
False,2262280611,False,0.0,0.0,57
False,7244907746,True,2.62,0.44,1768834
False,7244907746,False,0.0,0.0,58
True,7244907746,False,0.31,0.0,117775
True,7244907746,True,2.51,0.58,1886554
False,6504476847,True,2.34,0.42,1588065
True,6504476847,True,2.36,0.52,1693779
True,6504476847,False,0.28,0.0,105772
False,6504476847,False,0.0,0.0,58
True,5850822358,False,0.25,0.0,95172
False,5850822358,False,0.0,0.0,60
False,5850822358,True,2.14,0.34,1428483
